RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W
1,0.88,0.115,1623.0,0.595,0.405,0.07,0.404,0.335,0.06,0.017,0.017,0.145,0.145,0.287,0.126,0.424
2,0.52,0.098,1318.0,0.502,0.498,0.06,0.25,0.345,0.088,0.066,0.066,0.114,0.114,0.21,0.562,0.684
3,0.87,0.12,1643.0,0.57,0.43,0.1,0.345,0.252,0.065,0.073,0.073,0.116,0.116,0.176,0.257,0.667
4,0.55,0.105,1866.0,0.524,0.476,0.08,0.271,0.273,0.043,0.098,0.098,0.149,0.149,0.269,0.134,0.582
5,0.64,0.109,1358.0,0.557,0.443,0.05,0.284,0.227,0.057,0.051,0.051,0.146,0.146,0.14,0.4,0.267
6,0.85,0.102,1416.0,0.567,0.433,0.08,0.277,0.283,0.037,0.076,0.076,0.054,0.054,0.231,0.369,0.361
7,0.46,0.098,1562.0,0.439,0.561,0.05,0.491,0.169,0.051,0.038,0.038,0.105,0.105,0.34,0.563,0.479
8,0.93,0.103,1580.0,0.581,0.419,0.02,0.279,0.205,0.052,0.015,0.015,0.13,0.13,0.452,0.227,0.464
9,0.64,0.094,1748.0,0.433,0.567,0.02,0.491,0.233,0.045,0.006,0.006,0.113,0.113,0.371,0.42,0.455
10,0.74,0.102,1590.0,0.431,0.569,0.08,0.39,0.273,0.074,0.057,0.057,0.112,0.112,0.142,0.445,0.331
11,0.38,0.104,1605.0,0.458,0.542,0.06,0.393,0.211,0.061,0.089,0.089,0.132,0.132,0.388,0.41,0.364
12,0.37,0.103,1712.0,0.549,0.451,0.02,0.368,0.268,0.077,0.039,0.039,0.134,0.134,0.488,0.215,0.567
13,0.59,0.111,1818.0,0.439,0.561,0.09,0.373,0.219,0.047,0.09,0.09,0.12,0.12,0.204,0.457,0.664
14,0.75,0.096,1447.0,0.599,0.401,0.06,0.437,0.237,0.043,0.073,0.073,0.133,0.133,0.428,0.39,0.53
15,0.66,0.116,1838.0,0.474,0.526,0.1,0.446,0.289,0.048,0.037,0.037,0.124,0.124,0.236,0.168,0.525
16,0.75,0.1,1804.0,0.478,0.522,0.02,0.325,0.347,0.068,0.047,0.047,0.152,0.152,0.312,0.444,0.264
17,0.65,0.109,1787.0,0.449,0.551,0.04,0.344,0.164,0.077,0.01,0.01,0.12,0.12,0.49,0.469,0.47
18,0.55,0.102,1535.0,0.412,0.588,0.03,0.394,0.331,0.058,0.056,0.056,0.112,0.112,0.364,0.109,0.474
19,0.96,0.096,1489.0,0.495,0.505,0.05,0.42,0.157,0.064,0.048,0.048,0.084,0.084,0.217,0.143,0.709
20,0.94,0.089,1315.0,0.427,0.573,0.02,0.444,0.305,0.042,0.025,0.025,0.143,0.143,0.139,0.321,0.611
21,0.31,0.103,1410.0,0.477,0.523,0.06,0.242,0.305,0.067,0.04,0.04,0.135,0.135,0.277,0.187,0.457
22,0.43,0.119,1733.0,0.457,0.543,0.02,0.311,0.205,0.062,0.056,0.056,0.13,0.13,0.364,0.216,0.433
23,0.53,0.118,1655.0,0.495,0.505,0.1,0.284,0.263,0.092,0.066,0.066,0.127,0.127,0.37,0.136,0.631
24,0.89,0.102,1760.0,0.591,0.409,0.07,0.408,0.245,0.044,0.086,0.086,0.132,0.132,0.206,0.259,0.429
25,0.95,0.107,1670.0,0.54,0.46,0.09,0.324,0.269,0.07,0.057,0.057,0.109,0.109,0.23,0.191,0.58
26,0.76,0.094,1514.0,0.541,0.459,0.06,0.305,0.32,0.091,0.038,0.038,0.139,0.139,0.293,0.195,0.271
27,0.63,0.108,1872.0,0.447,0.553,0.08,0.304,0.322,0.081,0.008,0.008,0.136,0.136,0.238,0.407,0.331
28,0.68,0.115,1544.0,0.539,0.461,0.03,0.421,0.307,0.08,0.065,0.065,0.097,0.097,0.179,0.255,0.323
29,0.6,0.097,1765.0,0.533,0.467,0.09,0.333,0.232,0.039,0.091,0.091,0.093,0.093,0.188,0.478,0.555
30,0.79,0.107,1729.0,0.505,0.495,0.03,0.435,0.24,0.09,0.073,0.073,0.15,0.15,0.181,0.166,0.354
31,0.51,0.096,1523.0,0.49,0.51,0.07,0.467,0.32,0.095,0.09,0.09,0.061,0.061,0.449,0.327,0.262
32,0.97,0.109,1798.0,0.442,0.558,0.1,0.281,0.169,0.063,0.002,0.002,0.107,0.107,0.322,0.198,0.499
33,0.85,0.09,1332.0,0.584,0.416,0.01,0.244,0.171,0.055,0.03,0.03,0.153,0.153,0.235,0.482,0.251
34,0.49,0.123,1371.0,0.406,0.594,0.06,0.233,0.197,0.049,0.044,0.044,0.089,0.089,0.289,0.592,0.271
35,0.95,0.104,1447.0,0.547,0.453,0.09,0.288,0.287,0.033,0.087,0.087,0.072,0.072,0.111,0.171,0.572
36,0.57,0.125,1426.0,0.421,0.579,0.08,0.227,0.199,0.057,0.003,0.003,0.099,0.099,0.216,0.373,0.481
37,0.74,0.104,1469.0,0.476,0.524,0.02,0.319,0.198,0.066,0.072,0.072,0.149,0.149,0.281,0.404,0.493
38,0.76,0.107,1809.0,0.571,0.429,0.07,0.406,0.315,0.061,0.045,0.045,0.078,0.078,0.186,0.409,0.657
39,0.68,0.106,1610.0,0.556,0.444,0.07,0.32,0.285,0.088,0.086,0.086,0.069,0.069,0.457,0.301,0.339
40,0.81,0.112,1396.0,0.446,0.554,0.1,0.221,0.162,0.097,0.078,0.078,0.118,0.118,0.34,0.413,0.601
41,0.54,0.126,1811.0,0.486,0.514,0.02,0.253,0.261,0.033,0.02,0.02,0.105,0.105,0.173,0.341,0.52
42,0.73,0.096,1638.0,0.408,0.592,0.08,0.274,0.156,0.045,0.004,0.004,0.086,0.086,0.394,0.375,0.79
43,0.55,0.095,1330.0,0.42,0.58,0.09,0.288,0.293,0.035,0.031,0.031,0.132,0.132,0.251,0.365,0.317
44,0.34,0.104,1395.0,0.561,0.439,0.06,0.337,0.319,0.078,0.016,0.016,0.174,0.174,0.304,0.531,0.757
45,0.69,0.106,1303.0,0.529,0.471,0.05,0.351,0.319,0.074,0.037,0.037,0.112,0.112,0.385,0.546,0.535
46,0.78,0.114,1835.0,0.435,0.565,0.08,0.418,0.186,0.086,0.037,0.037,0.166,0.166,0.242,0.331,0.769
47,0.31,0.092,1384.0,0.497,0.503,0.01,0.339,0.156,0.054,0.002,0.002,0.09,0.09,0.126,0.263,0.755
48,0.55,0.092,1313.0,0.417,0.583,0.03,0.34,0.179,0.09,0.009,0.009,0.169,0.169,0.438,0.473,0.44
49,0.75,0.106,1387.0,0.474,0.526,0.05,0.375,0.178,0.078,0.007,0.007,0.149,0.149,0.214,0.451,0.681
50,0.98,0.112,1345.0,0.404,0.596,0.08,0.347,0.333,0.073,0.081,0.081,0.16,0.16,0.366,0.264,0.394
51,0.6,0.1,1518.0,0.6,0.4,0.04,0.445,0.271,0.09,0.069,0.069,0.057,0.057,0.126,0.369,0.462
52,0.62,0.095,1651.0,0.511,0.489,0.09,0.244,0.226,0.07,0.048,0.048,0.16,0.16,0.226,0.236,0.217
53,0.8,0.108,1329.0,0.416,0.584,0.05,0.218,0.264,0.045,0.077,0.077,0.143,0.143,0.44,0.576,0.583
54,0.75,0.116,1535.0,0.523,0.477,0.09,0.489,0.243,0.094,0.047,0.047,0.133,0.133,0.342,0.566,0.618
55,0.57,0.098,1403.0,0.535,0.465,0.03,0.358,0.292,0.042,0.083,0.083,0.132,0.132,0.315,0.511,0.531
56,0.62,0.092,1663.0,0.575,0.425,0.07,0.324,0.306,0.041,0.049,0.049,0.152,0.152,0.138,0.307,0.283
57,0.66,0.101,1551.0,0.489,0.511,0.1,0.218,0.297,0.036,0.097,0.097,0.146,0.146,0.43,0.267,0.585
58,0.36,0.096,1500.0,0.593,0.407,0.08,0.415,0.248,0.092,0.057,0.057,0.157,0.157,0.241,0.515,0.718
59,0.64,0.104,1553.0,0.572,0.428,0.07,0.481,0.248,0.078,0.034,0.034,0.163,0.163,0.439,0.418,0.529
60,0.62,0.083,1529.0,0.538,0.462,0.02,0.391,0.215,0.049,0.078,0.078,0.155,0.155,0.184,0.427,0.547
61,0.36,0.108,1675.0,0.435,0.565,0.06,0.248,0.303,0.08,0.076,0.076,0.074,0.074,0.409,0.367,0.221
62,0.44,0.102,1603.0,0.428,0.572,0.02,0.382,0.217,0.078,0.005,0.005,0.148,0.148,0.388,0.475,0.321
63,0.9,0.104,1357.0,0.422,0.578,0.07,0.428,0.217,0.068,0.011,0.011,0.151,0.151,0.142,0.281,0.24
64,0.59,0.095,1899.0,0.443,0.557,0.05,0.473,0.172,0.07,0.046,0.046,0.136,0.136,0.269,0.202,0.368
65,0.59,0.114,1470.0,0.407,0.593,0.08,0.394,0.25,0.084,0.057,0.057,0.144,0.144,0.17,0.36,0.229
66,0.76,0.097,1570.0,0.57,0.43,0.05,0.38,0.305,0.068,0.084,0.084,0.147,0.147,0.306,0.16,0.441
67,0.95,0.113,1405.0,0.546,0.454,0.03,0.358,0.182,0.054,0.017,0.017,0.138,0.138,0.345,0.179,0.794
68,0.98,0.116,1461.0,0.469,0.531,0.01,0.322,0.188,0.091,0.07,0.07,0.159,0.159,0.252,0.472,0.668
69,0.63,0.105,1642.0,0.485,0.515,0.01,0.366,0.231,0.059,0.016,0.016,0.164,0.164,0.105,0.439,0.302
70,0.81,0.11,1727.0,0.485,0.515,0.1,0.285,0.277,0.042,0.051,0.051,0.115,0.115,0.398,0.262,0.694
71,0.45,0.112,1479.0,0.467,0.533,0.06,0.283,0.235,0.091,0.049,0.049,0.118,0.118,0.221,0.416,0.782
72,0.3,0.105,1645.0,0.557,0.443,0.05,0.35,0.338,0.083,0.029,0.029,0.15,0.15,0.228,0.455,0.653
73,0.89,0.107,1754.0,0.434,0.566,0.06,0.359,0.338,0.053,0.096,0.096,0.168,0.168,0.114,0.386,0.346
74,0.89,0.114,1737.0,0.532,0.468,0.07,0.42,0.247,0.068,0.082,0.082,0.14,0.14,0.25,0.513,0.234
75,0.71,0.101,1787.0,0.555,0.445,0.05,0.365,0.29,0.059,0.044,0.044,0.143,0.143,0.434,0.113,0.706
76,0.33,0.105,1539.0,0.557,0.443,0.07,0.342,0.192,0.049,0.009,0.009,0.135,0.135,0.225,0.584,0.703
77,0.58,0.104,1751.0,0.448,0.552,0.04,0.402,0.152,0.034,0.016,0.016,0.127,0.127,0.301,0.124,0.239
78,0.73,0.103,1656.0,0.461,0.539,0.1,0.406,0.16,0.091,0.04,0.04,0.117,0.117,0.113,0.18,0.377
79,0.67,0.099,1638.0,0.473,0.527,0.1,0.453,0.282,0.05,0.073,0.073,0.137,0.137,0.441,0.139,0.629
80,0.39,0.117,1647.0,0.51,0.49,0.05,0.28,0.309,0.036,0.093,0.093,0.108,0.108,0.151,0.354,0.522
81,0.88,0.091,1799.0,0.527,0.473,0.05,0.396,0.26,0.089,0.072,0.072,0.13,0.13,0.165,0.533,0.26
82,0.31,0.1,1495.0,0.567,0.433,0.02,0.225,0.298,0.055,0.026,0.026,0.089,0.089,0.239,0.35,0.443
83,0.76,0.094,1597.0,0.456,0.544,0.02,0.245,0.328,0.046,0.098,0.098,0.177,0.177,0.169,0.582,0.477
84,0.99,0.095,1487.0,0.598,0.402,0.07,0.207,0.251,0.078,0.032,0.032,0.155,0.155,0.45,0.456,0.344
85,0.78,0.108,1733.0,0.43,0.57,0.1,0.422,0.297,0.036,0.094,0.094,0.092,0.092,0.24,0.323,0.708
86,0.43,0.111,1313.0,0.518,0.482,0.02,0.484,0.328,0.087,0.08,0.08,0.147,0.147,0.203,0.358,0.792
87,0.93,0.093,1567.0,0.449,0.551,0.03,0.295,0.287,0.044,0.062,0.062,0.15,0.15,0.172,0.103,0.733
88,0.6,0.11,1454.0,0.572,0.428,0.07,0.463,0.284,0.033,0.032,0.032,0.134,0.134,0.211,0.151,0.462
89,0.53,0.095,1417.0,0.576,0.424,0.09,0.426,0.197,0.064,0.066,0.066,0.168,0.168,0.159,0.274,0.324
90,0.32,0.092,1445.0,0.501,0.499,0.02,0.291,0.151,0.088,0.094,0.094,0.139,0.139,0.274,0.296,0.75
